sentence,subject,verb,object,hinnang
Need kontrollivad kaks korda sekundis liitpeegli kuju .,see,kontrollima,kuju,yes
Selle küsimuse peale laiutavad koolijuhid käsi .,koolijuht,laiutama,käsi,yes
"” Urmas Oti telemissaks 30. detsembriks koju teleka ette jõudnud , võtsid Ülle ja Indrek vana-aastaõhtuks suuna Haapsallu .",Ülle,võtma,suund,yes
Eestist ostetud haruldased sõrmused “ True love ” maksid kokku 15 000 krooni .,sõrmus,maksma,kroon,yes
Varasem kriitika on juba tõmmanud paralleele Noa laeva ja apokalüpsisega .,kriitika,tõmbama,paralleel,yes
"Paanikahoos inimest valdab surmahirm , tal on tunne , et “ läheb hulluks ” .",surmahirm,valdama,inimene,yes
"“ Ma armastan väga rattasõitu , ” toob rektor näite .",mina,armastama,rattasõit,yes
Kiiremad loomad vajavad tugevamaid luid .,loom,vajama,luu,yes
"Selle nimel , et see kõik reaalseks muutuks , teevad tööd USA kaitseministeeriumi sõjaliseks kasutuseks mõeldud uue tehnika arendamise keskuse DARPA ( Defense Advanced Research Projects Agency ) ehk siis Riigikaitse Progressiivuuringuprojektide Agentuuri teadlased .",teadlane,tegema,töö,yes
"Vanaisa Hans oli Võisiku mõisa valitsejana kaheksa lapse kõrvalt 49. eluaastaks nii palju raha säästnud , et läks Sakalas ilmunud Adoni karjamõisa müümise kuulutuse peale Uusna paruni jutule .",vanaisa,säästma,raha,yes
Kohus ennistas Jüri Oti uuesti Tallinna Botaanikaaia direktoriks ning mõistis Tallinna linnalt Oti kasuks välja ligi 40 000 krooni .,kohus,ennistama,Jüri,yes
Kuskilt hambafissuurist sisse läinud pisik ei jäta alati hamba pinnale isegi nähtavat auku .,pisik,jätma,auk,yes
"Keegi midagi kandikul ette ei too , kui inimene ise ennast soost välja rebida ei taha .",keegi,tooma,miski,yes
"Ta esitles plakatit , millel Ryderi nägu oli ümbritsetud jutumullidega , millest igaühes olid kirjas näitlejatari kõikvõimalikud põhjendused .",tema,esitlema,plakat,yes
Esmatähtsaks peab professor Eesti ühiskonna muutumist inimkeskseks .,professor,pidama,muutumine,yes
"“ Ma ajan ka Paide ja kõik teised väikelinnad kihama , kui sinna satun ! ” praalib Lepajõe .",mina,ajama,Paide,yes
"BV inspektor tegi akti , kuid midagi ei võetud ette sama vea likvideerimiseks Arcticu sõsarlaeval Nordic .",inspektor,tegema,akt,yes
Ta armastab mind väga . ”,tema,armastama,mina,yes
"Nii mõnigi ametnik ja poliitik toetas Eesti haldussüsteemi üht tõsisemat reformikava , ajakirjanikud aga astusid umbusklikult reformide vastu .",ametnik,toetama,reformikava,yes
"Eks ma mõne loo kirjutasin ise ka , aga ma ei arva , et minust saaks filosofeeriv Barbi Pilvre .",mina,kirjutama,lugu,yes
"Ülemus sõimas mehel näo täis , aga juhtum oli sisuliselt läbi .",ülemus,sõimama,nägu,yes
Seetõttu peab ta õigeks pankrotimenetluse kaudu uute omanike leidmist .,tema,pidama,leidmine,yes
Ühend ajab sääskede sisemised kompassid sassi ja kaitseb niimoodi hammustuste eest mõne tunni jooksul .,ühend,ajama,kompass,yes
Esimese pilgu militaar-Interneti võimalustele said Ameerika sõdurid heita tänavu mais Bosnias .,sõdur,heitma,pilk,yes
Eestile oleks Teine maailmasõda maksnud peaaegu kogu eksistentsi .,maailmasõda,maksma,eksistents,yes
USA langemine kriisivõrku tõmbaks kaasa ka Euroopa .,langemine,tõmbama,Euroopa,yes
Kaks kolmandikku maailma 100 miljonist internetikasutajast ostab vähemalt kord kuus endale midagi interneti kaudu .,kolmandik,ostma,miski,yes
"Ta jagab oma aja neljaks : Tallinna linn 55% , koalitsioon ja riik 10% , partei 20% ja ülejäänu on lugemiseks , kirjutamiseks , söömiseks , jutuajamisteks .",tema,jagama,aeg,yes
Kas naiste osas järgib Marko oma isa maitset ?,Marko,järgima,maitse,yes
Nime panin mina .,mina,panema,nimi,yes
Ta peab oma meest meeles kaunite kingitustega .,tema,pidama,mees,yes
Seda tingivad uued julgeolekualased väljakutsed .,väljakutse,tingima,see,yes
"Et midagi tagasi nõuda ei saaks , jättis kõrge instants jõusse kogu vara konfiskeerimise nõude .",instants,jätma,nõue,yes
Seda ma tundsin .,mina,tundma,see,yes
Ema ja poeg süüdistavad kooli lohakuses ja räpasuses ning viitavad valele õppekavale .,ema,süüdistama,kool,yes
"Töötajad võivad blokeerida iga firma jaoks vajaliku , ent nendele ebameeldiva juhtkonna otsuse .",töötaja,blokeerima,otsus,yes
Eestist ei teadnud Julia varem suurt midagi peale mulluse võidulaulu .,Julia,teadma,miski,yes
Kuid milline naine seda kõike teinud poleks !,naine,tegema,kõik,yes
Mehe sõnul Kristina ainult halvustab teda lapse kuuldes ega lase tal enam tütrega suhelda .,Kristina,halvustama,tema,yes
"Senikaua kuni keegi ( kes ? ) midagi ette võtab , mõtleme , ootame , vaatame .",keegi,võtma,miski,yes
Ma ei igatse tagasi esivanemate kombeid .,mina,igatsema,komme,yes
"Raha kaitseb ennast ise , aga kes kaitseb töötajat ?",raha,kaitsma,ise,yes
Robertsi sõnul annab hommikune trenn jõusaalis talle energiat : “ Ma tunnen end pärast värske ja tugevana .,trenn,andma,energia,yes
“ Esiteks lõpetasin ma peeglisse vaatamise .,mina,lõpetama,vaatamine,yes
Peeter Rebane ostab endale asju nii harva kui võimalik .,Peeter,ostma,asi,yes
"Toomase lapsed veedavad kõik oma suvevaheajad meiega , tihti ka jõulud ja teised koolivaheajad .",laps,veetma,suvevaheaeg,yes
"Inimesed otsivad põhjust , et Crowe ' poolt mitte hääletada .",inimene,otsima,põhjus,yes
See pigistas ta lepingupartnerilt veel 15 000 .,see,pigistama,tema,yes
"Laps vajab isa ja ma usun , et meile kõigile oleks kõige parem elada koos .",laps,vajama,isa,yes
"Aastal 1989 võttis Rock Summeri kontserdil üks võõras mees mu oma kukile , et ma esinemist paremini näeksin .",mees,võtma,oma,no
"“ Ma ei lugenudki seda lõpuni , vaatasin , et õnnest on juttu .",mina,lugema,see,yes
"Väline sarnasus ning see , et ta oli samuti balletiga tegelnud , tõi talle peaosa kuulsa näitlejanna eluloost pajatavas telefilmis .",sarnasus,tooma,peaosa,yes
"Kui mitte mina , teeb seda keegi teine .",teine,tegema,see,yes
"Tartu Ülikool edestab Tallinna Tehnikaülikooli iga aastaga üha rohkem ja rohkem Kui vabadus on suur , pole imestada , et jagajad eelkõige endale mõtlevad .",Ülikool,edestama,tehnikaülikool,yes
Telemaja töötajad näevad üsna tihti kolmapäevaõhtuti maja ees parkimas Leonid Tuderi autot .,töötaja,nägema,auto,yes
Tuntud ja lugupeetud isa nime varjus tegi ta veel 50. aastatel suurt kahju metsavendadeliikumisele .,tema,tegema,kahi,no
"“ Ükskõik , mida ta ka ei teinud , ta oli alati täiuslikult meigitud , sest ta ei kujutanud ette , et mõni päev võiks mööduda fotograafideta , ” meenutab üks ajalehetoimetaja .",tema,tegema,mis,yes
"Muide , kooli juhtis tol ajal ei keegi muu kui kapten Kunnas isiklikult .",muu,juhtima,kool,yes
Kui suurt rolli mängib suhetes seks ja seksuaalne sobivus ?,sobivus,mängima,roll,yes
Mida sa lavakoolist õppisid ?,sina,õppima,mis,yes
"Selle pidi andma mitte mõni kindral , vaid sünoptik David Ludlum !",kindral,andma,see,yes
Kõige rohkem puudust tundis Siiri saarel algul oma mootorrattast Honda Endurost .,Siiri,tundma,puudus,yes
"Kuninglikud merejalaväelased demonstreerisid mitmesuguseid püssikäsitsemise võtteid ja rivisammu liike , mida oli üle saja ja mida nad tegid sünkroonis ilma käsklusteta .",merejalaväelane,demonstreerima,võte,yes
Meie tehas teeb koostööd väga paljude välispartneritega ning aeg-ajalt võtan ma neid kodus vastu .,tehas,tegema,koostöö,yes
"“ Ma ei saa ajakirjanduse veergudel iial sellel teemal sõna võtta , sest see oleks halva eeskuju näitamine , ” nendib Maire Aunaste ( 49 ) , kuid tunnistab Kroonikale , et ta on tõesti Ameerika saatkonda alt vedanud .",mina,võtma,sõna,yes
